country,admin_1,admin_2,year,growing_season,crop,production,area,yield,calendar_region,category
Kenya,Central,Kiambu,1983,1,mz,56700,21000,2.7,Central,EWCM
Kenya,Central,Kiambu,1984,1,mz,59940,37000,1.62,Central,EWCM
Kenya,Central,Kiambu,1985,1,mz,45579,19813,2.300459294,Central,EWCM
Kenya,Central,Kiambu,1986,1,mz,76460,30584,2.5,Central,EWCM
Kenya,Central,Kiambu,1987,1,mz,66130,26457,2.499527535,Central,EWCM
Kenya,Central,Kiambu,1988,1,mz,26257,25207,1.041655096,Central,EWCM
Kenya,Central,Kiambu,1989,1,mz,26705,15709,1.699980903,Central,EWCM
Kenya,Central,Kiambu,1990,1,mz,29784,25702,1.158820325,Central,EWCM
Kenya,Central,Kiambu,1991,1,mz,31320,26100,1.2,Central,EWCM
Kenya,Central,Kiambu,1992,1,mz,31736.25,14105,2.25,Central,EWCM
Kenya,Central,Kiambu,1993,1,mz,13990.86,11958,1.17,Central,EWCM
Kenya,Central,Kiambu,1994,1,mz,40899.6,16230,2.52,Central,EWCM
Kenya,Central,Kiambu,1995,1,mz,21240,11800,1.8,Central,EWCM
Kenya,Central,Kiambu,1996,1,mz,18289.8,10161,1.8,Central,EWCM
Kenya,Central,Kiambu,1997,1,mz,18333.09,11285,1.624553833,Central,EWCM
Kenya,Central,Kiambu,1998,1,mz,12645,11240,1.125,Central,EWCM
Kenya,Central,Kiambu,1999,1,mz,10260,9500,1.08,Central,EWCM
Kenya,Central,Kiambu,2000,1,mz,1556.1,8640,0.180104167,Central,EWCM
Kenya,Central,Kiambu,2001,1,mz,12074.4,11180,1.08,Central,EWCM
Kenya,Central,Kiambu,2003,1,mz,25408,18750,1.355093333,Central,EWCM
Kenya,Central,Kiambu,2004,1,mz,28620,21200,1.35,Central,EWCM
Kenya,Central,Kiambu,2005,1,mz,11844,14664,0.807692308,Central,EWCM
Kenya,Central,Kiambu,2006,1,mz,29599,22140,1.336901536,Central,EWCM
Kenya,Central,Kiambu,2007,1,mz,29660,23391,1.268009063,Central,EWCM
Kenya,Central,Kiambu,2008,1,mz,17616.511,26293.3,0.67,Central,EWCM
Kenya,Central,Kiambu,2009,1,mz,23976.9,30603,0.783482012,Central,EWCM
Kenya,Central,Kiambu,2010,1,mz,20000.16,41984,0.476375762,Central,EWCM
Kenya,Central,Kiambu,2011,1,mz,30193.29,39523,0.763942261,Central,EWCM
Kenya,Central,Kiambu,2012,1,mz,43041.66,45789,0.94,Central,EWCM
Kenya,Central,Kiambu,2013,1,mz,56474.46,44821,1.26,Central,EWCM
Kenya,Central,Kiambu,2014,1,mz,43944.57,43210,1.017,Central,EWCM
Kenya,Central,Kiambu,2015,1,mz,14963.4,24450,0.612,Central,EWCM
Kenya,Central,Kirinyaga,1983,1,mz,51746,32855,1.574980977,Central,EWCM
Kenya,Central,Kirinyaga,1984,1,mz,52073,28929,1.800027654,Central,EWCM
Kenya,Central,Kirinyaga,1985,1,mz,32278,32046,1.007239593,Central,EWCM
Kenya,Central,Kirinyaga,1986,1,mz,36475,27425,1.329990884,Central,EWCM
Kenya,Central,Kirinyaga,1987,1,mz,49388,33479,1.475193405,Central,EWCM
Kenya,Central,Kirinyaga,1988,1,mz,33523,24832,1.349991946,Central,EWCM
Kenya,Central,Kirinyaga,1989,1,mz,56310,31284,1.799961642,Central,EWCM
Kenya,Central,Kirinyaga,1990,1,mz,45624,29820,1.529979879,Central,EWCM
Kenya,Central,Kirinyaga,1991,1,mz,43170,25980,1.661662818,Central,EWCM
Kenya,Central,Kirinyaga,1992,1,mz,15877.35,11761,1.35,Central,EWCM
Kenya,Central,Kirinyaga,1993,1,mz,27179.1,23230,1.17,Central,EWCM
Kenya,Central,Kirinyaga,1994,1,mz,20736,12800,1.62,Central,EWCM
Kenya,Central,Kirinyaga,1995,1,mz,19611.99,14016,1.399257277,Central,EWCM
Kenya,Central,Kirinyaga,1996,1,mz,15528.24,14378,1.08,Central,EWCM
Kenya,Central,Kirinyaga,1997,1,mz,23440.05,14335,1.63516219,Central,EWCM
Kenya,Central,Kirinyaga,1998,1,mz,23697,13165,1.8,Central,EWCM
Kenya,Central,Kirinyaga,1999,1,mz,15503.4,14355,1.08,Central,EWCM
Kenya,Central,Kirinyaga,2000,1,mz,2430,13500,0.18,Central,EWCM
Kenya,Central,Kirinyaga,2001,1,mz,10800,15000,0.72,Central,EWCM
Kenya,Central,Kirinyaga,2003,1,mz,26193,26700,0.981011236,Central,EWCM
Kenya,Central,Kirinyaga,2004,1,mz,24552,27100,0.90597786,Central,EWCM
Kenya,Central,Kirinyaga,2005,1,mz,19465,25355,0.767698679,Central,EWCM
Kenya,Central,Kirinyaga,2006,1,mz,19892,25000,0.79568,Central,EWCM
Kenya,Central,Kirinyaga,2007,1,mz,31503,24224,1.30048712,Central,EWCM
Kenya,Central,Kirinyaga,2008,1,mz,43075,18932,2.275248257,Central,EWCM
Kenya,Central,Kirinyaga,2009,1,mz,8217.205,23545,0.349,Central,EWCM
Kenya,Central,Kirinyaga,2010,1,mz,54778.77,31935,1.715320808,Central,EWCM
Kenya,Central,Kirinyaga,2011,1,mz,21289.5,17530,1.214460924,Central,EWCM
Kenya,Central,Kirinyaga,2012,1,mz,18848.25,16730,1.126613867,Central,EWCM
Kenya,Central,Kirinyaga,2013,1,mz,54608.85,31935,1.71,Central,EWCM
Kenya,Central,Kirinyaga,2014,1,mz,56665.539,40103,1.413,Central,EWCM
Kenya,Central,Kirinyaga,2015,1,mz,43648.416,32992,1.323,Central,EWCM
Kenya,Central,Murang'a,1983,1,mz,41040,38000,1.08,Central,EWCM
Kenya,Central,Murang'a,1984,1,mz,39154,43504,0.900009195,Central,EWCM
Kenya,Central,Murang'a,1985,1,mz,42143,38022,1.108384619,Central,EWCM
Kenya,Central,Murang'a,1986,1,mz,61373,47210,1.3,Central,EWCM
Kenya,Central,Murang'a,1987,1,mz,73197,47841,1.530005644,Central,EWCM
Kenya,Central,Murang'a,1988,1,mz,45400,45860,0.989969472,Central,EWCM
Kenya,Central,Murang'a,1989,1,mz,70783,46300,1.528790497,Central,EWCM
Kenya,Central,Murang'a,1990,1,mz,78880,46400,1.7,Central,EWCM
Kenya,Central,Murang'a,1991,1,mz,71680,44800,1.6,Central,EWCM
Kenya,Central,Murang'a,1992,1,mz,20976.84,19423,1.08,Central,EWCM
Kenya,Central,Murang'a,1993,1,mz,39366,24300,1.62,Central,EWCM
Kenya,Central,Murang'a,1994,1,mz,65243,25890,2.520007725,Central,EWCM
Kenya,Central,Murang'a,1995,1,mz,10265.4,9505,1.08,Central,EWCM
Kenya,Central,Murang'a,1996,1,mz,22950,17000,1.35,Central,EWCM
Kenya,Central,Murang'a,1997,1,mz,18792,11600,1.62,Central,EWCM
Kenya,Central,Murang'a,1998,1,mz,15840,11000,1.44,Central,EWCM
Kenya,Central,Murang'a,1999,1,mz,4212,7800,0.54,Central,EWCM
Kenya,Central,Murang'a,2000,1,mz,405,8900,0.045505618,Central,EWCM
Kenya,Central,Murang'a,2001,1,mz,9504,8800,1.08,Central,EWCM
